
            Shear viscosity coefficients:

  Temp.Lennard-Jones  Born-Mayer     VSS            ESA-Bruno     
  500. 0.269520E-04  0.248190E-04  0.181869E-04  0.262337E-04
  600. 0.306370E-04  0.300901E-04  0.207759E-04  0.300793E-04
  700. 0.340718E-04  0.340725E-04  0.232503E-04  0.335636E-04
  800. 0.373064E-04  0.374634E-04  0.256308E-04  0.367711E-04
  900. 0.403762E-04  0.405568E-04  0.279321E-04  0.397660E-04
 1000. 0.433073E-04  0.434812E-04  0.301651E-04  0.425947E-04
 1100. 0.461195E-04  0.462976E-04  0.323386E-04  0.452913E-04
 1200. 0.488285E-04  0.490373E-04  0.344592E-04  0.478806E-04
 1300. 0.514466E-04  0.517180E-04  0.365327E-04  0.503812E-04
 1400. 0.539839E-04  0.543507E-04  0.385634E-04  0.528072E-04
 1500. 0.564489E-04  0.569425E-04  0.405553E-04  0.551694E-04
 1600. 0.588485E-04  0.594985E-04  0.425117E-04  0.574764E-04
 1700. 0.611888E-04  0.620224E-04  0.444352E-04  0.597349E-04
 1800. 0.634748E-04  0.645172E-04  0.463285E-04  0.619504E-04
 1900. 0.657109E-04  0.669852E-04  0.481935E-04  0.641274E-04
 2000. 0.679010E-04  0.694284E-04  0.500322E-04  0.662697E-04
 2100. 0.700485E-04  0.718486E-04  0.518463E-04  0.683805E-04
 2200. 0.721562E-04  0.742471E-04  0.536371E-04  0.704623E-04
 2300. 0.742270E-04  0.766252E-04  0.554061E-04  0.725176E-04
 2400. 0.762631E-04  0.789842E-04  0.571545E-04  0.745483E-04
 2500. 0.782667E-04  0.813250E-04  0.588832E-04  0.765561E-04
 2600. 0.802397E-04  0.836485E-04  0.605934E-04  0.785425E-04
 2700. 0.821838E-04  0.859557E-04  0.622859E-04  0.805089E-04
 2800. 0.841006E-04  0.882472E-04  0.639616E-04  0.824566E-04
 2900. 0.859915E-04  0.905238E-04  0.656212E-04  0.843864E-04
 3000. 0.878579E-04  0.927862E-04  0.672654E-04  0.862995E-04
 3100. 0.897009E-04  0.950350E-04  0.688948E-04  0.881967E-04
 3200. 0.915217E-04  0.972706E-04  0.705101E-04  0.900787E-04
 3300. 0.933212E-04  0.994938E-04  0.721119E-04  0.919463E-04
 3400. 0.951005E-04  0.101705E-03  0.737006E-04  0.938002E-04
 3500. 0.968604E-04  0.103904E-03  0.752767E-04  0.956409E-04
 3600. 0.986018E-04  0.106093E-03  0.768407E-04  0.974691E-04
 3700. 0.100325E-03  0.108270E-03  0.783930E-04  0.992851E-04
 3800. 0.102032E-03  0.110438E-03  0.799340E-04  0.101089E-03
 3900. 0.103722E-03  0.112595E-03  0.814641E-04  0.102883E-03
 4000. 0.105396E-03  0.114743E-03  0.829837E-04  0.104665E-03
 4100. 0.107055E-03  0.116881E-03  0.844930E-04  0.106437E-03
 4200. 0.108699E-03  0.119010E-03  0.859924E-04  0.108199E-03
 4300. 0.110329E-03  0.121130E-03  0.874822E-04  0.109951E-03
 4400. 0.111945E-03  0.123242E-03  0.889627E-04  0.111694E-03
 4500. 0.113549E-03  0.125346E-03  0.904341E-04  0.113428E-03
 4600. 0.115139E-03  0.127442E-03  0.918967E-04  0.115153E-03
 4700. 0.116717E-03  0.129530E-03  0.933508E-04  0.116869E-03
 4800. 0.118283E-03  0.131611E-03  0.947965E-04  0.118577E-03
 4900. 0.119837E-03  0.133684E-03  0.962341E-04  0.120277E-03
 5000. 0.121380E-03  0.135750E-03  0.976638E-04  0.121969E-03
 5100. 0.122913E-03  0.137809E-03  0.990858E-04  0.123654E-03
 5200. 0.124434E-03  0.139862E-03  0.100500E-03  0.125331E-03
 5300. 0.125945E-03  0.141908E-03  0.101907E-03  0.127000E-03
 5400. 0.127446E-03  0.143947E-03  0.103307E-03  0.128663E-03
 5500. 0.128938E-03  0.145981E-03  0.104700E-03  0.130318E-03
 5600. 0.130419E-03  0.148008E-03  0.106087E-03  0.131967E-03
 5700. 0.131892E-03  0.150030E-03  0.107466E-03  0.133609E-03
 5800. 0.133356E-03  0.152045E-03  0.108839E-03  0.135245E-03
 5900. 0.134810E-03  0.154055E-03  0.110206E-03  0.136874E-03
 6000. 0.136256E-03  0.156060E-03  0.111566E-03  0.138497E-03
 6100. 0.137694E-03  0.158059E-03  0.112921E-03  0.140114E-03
 6200. 0.139124E-03  0.160053E-03  0.114269E-03  0.141725E-03
 6300. 0.140546E-03  0.162042E-03  0.115611E-03  0.143330E-03
 6400. 0.141959E-03  0.164026E-03  0.116948E-03  0.144929E-03
 6500. 0.143366E-03  0.166005E-03  0.118279E-03  0.146523E-03
 6600. 0.144765E-03  0.167979E-03  0.119605E-03  0.148112E-03
 6700. 0.146156E-03  0.169949E-03  0.120925E-03  0.149695E-03
