
        Thermal conductivity coefficient:

  Temp.Lennard-Jones  Born-Mayer     VSS            ESA-Bruno     
  500. 0.393603E-01  0.317701E-01  0.283600E-01  0.384124E-01
  600. 0.447696E-01  0.313627E-01  0.324017E-01  0.440220E-01
  700. 0.498040E-01  0.494355E-01  0.362604E-01  0.491291E-01
  800. 0.545545E-01  0.548277E-01  0.399834E-01  0.538311E-01
  900. 0.590605E-01  0.595000E-01  0.435766E-01  0.582381E-01
 1000. 0.633646E-01  0.638450E-01  0.470622E-01  0.624141E-01
 1100. 0.675058E-01  0.680159E-01  0.504440E-01  0.663949E-01
 1200. 0.714870E-01  0.720972E-01  0.537568E-01  0.702285E-01
 1300. 0.753459E-01  0.761087E-01  0.569862E-01  0.739318E-01
 1400. 0.790755E-01  0.800559E-01  0.601633E-01  0.775194E-01
 1500. 0.827153E-01  0.839503E-01  0.632715E-01  0.810192E-01
 1600. 0.862440E-01  0.877961E-01  0.663287E-01  0.844482E-01
 1700. 0.896937E-01  0.916009E-01  0.693274E-01  0.878007E-01
 1800. 0.930709E-01  0.953531E-01  0.722849E-01  0.910918E-01
 1900. 0.963605E-01  0.990750E-01  0.751984E-01  0.943203E-01
 2000. 0.995869E-01  0.102766E+00  0.780776E-01  0.975040E-01
 2100. 0.102766E+00  0.106412E+00  0.808958E-01  0.100636E+00
 2200. 0.105871E+00  0.110026E+00  0.836940E-01  0.103728E+00
 2300. 0.108933E+00  0.113621E+00  0.864547E-01  0.106788E+00
 2400. 0.111937E+00  0.117181E+00  0.891877E-01  0.109807E+00
 2500. 0.114893E+00  0.120708E+00  0.918908E-01  0.112785E+00
 2600. 0.117809E+00  0.124217E+00  0.945488E-01  0.115738E+00
 2700. 0.120676E+00  0.127690E+00  0.972107E-01  0.118672E+00
 2800. 0.123516E+00  0.131147E+00  0.998134E-01  0.121560E+00
 2900. 0.126313E+00  0.134575E+00  0.102401E+00  0.124433E+00
 3000. 0.129065E+00  0.137993E+00  0.104987E+00  0.127265E+00
 3100. 0.131790E+00  0.141380E+00  0.107513E+00  0.130085E+00
 3200. 0.134489E+00  0.144733E+00  0.110040E+00  0.132879E+00
 3300. 0.137138E+00  0.148093E+00  0.112526E+00  0.135664E+00
 3400. 0.139777E+00  0.151424E+00  0.115013E+00  0.138415E+00
 3500. 0.142344E+00  0.154737E+00  0.117484E+00  0.141150E+00
 3600. 0.144941E+00  0.158022E+00  0.119924E+00  0.143874E+00
 3700. 0.147475E+00  0.161303E+00  0.122340E+00  0.146576E+00
 3800. 0.149995E+00  0.164563E+00  0.124745E+00  0.149246E+00
 3900. 0.152490E+00  0.167804E+00  0.127137E+00  0.151929E+00
 4000. 0.154978E+00  0.171025E+00  0.129511E+00  0.154569E+00
 4100. 0.157421E+00  0.174254E+00  0.131869E+00  0.157211E+00
 4200. 0.159854E+00  0.177452E+00  0.134208E+00  0.159815E+00
 4300. 0.162283E+00  0.180635E+00  0.136537E+00  0.162424E+00
 4400. 0.164658E+00  0.183835E+00  0.138837E+00  0.165018E+00
 4500. 0.167037E+00  0.186977E+00  0.141147E+00  0.167582E+00
 4600. 0.169394E+00  0.190123E+00  0.143436E+00  0.170152E+00
 4700. 0.171724E+00  0.193253E+00  0.145712E+00  0.172717E+00
 4800. 0.174051E+00  0.196409E+00  0.147957E+00  0.175230E+00
 4900. 0.176344E+00  0.199525E+00  0.150212E+00  0.177764E+00
 5000. 0.178629E+00  0.202630E+00  0.152438E+00  0.180282E+00
 5100. 0.180884E+00  0.205725E+00  0.154651E+00  0.182776E+00
 5200. 0.183139E+00  0.208821E+00  0.156863E+00  0.185250E+00
 5300. 0.185386E+00  0.211878E+00  0.159074E+00  0.187724E+00
 5400. 0.187597E+00  0.214949E+00  0.161242E+00  0.190198E+00
 5500. 0.189813E+00  0.217988E+00  0.163397E+00  0.192657E+00
 5600. 0.192005E+00  0.221053E+00  0.165572E+00  0.195102E+00
 5700. 0.194180E+00  0.224076E+00  0.167741E+00  0.197540E+00
 5800. 0.196349E+00  0.227117E+00  0.169869E+00  0.199975E+00
 5900. 0.198522E+00  0.230129E+00  0.172001E+00  0.202387E+00
 6000. 0.200632E+00  0.233145E+00  0.174139E+00  0.204797E+00
 6100. 0.202770E+00  0.236155E+00  0.176246E+00  0.207198E+00
 6200. 0.204897E+00  0.239149E+00  0.178341E+00  0.209607E+00
 6300. 0.207005E+00  0.242136E+00  0.180442E+00  0.211967E+00
 6400. 0.209087E+00  0.245118E+00  0.182537E+00  0.214352E+00
 6500. 0.211170E+00  0.248078E+00  0.184618E+00  0.216705E+00
 6600. 0.213242E+00  0.251055E+00  0.186667E+00  0.219087E+00
 6700. 0.215312E+00  0.253983E+00  0.188742E+00  0.221416E+00
 6800. 0.217372E+00  0.256912E+00  0.190788E+00  0.223755E+00
 6900. 0.219405E+00  0.259841E+00  0.192846E+00  0.226104E+00
 7000. 0.221439E+00  0.262807E+00  0.194886E+00  0.228422E+00
 7100. 0.223456E+00  0.265735E+00  0.196905E+00  0.230733E+00
 7200. 0.225470E+00  0.268665E+00  0.198929E+00  0.233051E+00
 7300. 0.227467E+00  0.271575E+00  0.200963E+00  0.235376E+00
 7400. 0.229452E+00  0.274505E+00  0.202963E+00  0.237669E+00
 7500. 0.231440E+00  0.277408E+00  0.204946E+00  0.239962E+00
 7600. 0.233407E+00  0.280291E+00  0.206948E+00  0.242224E+00
 7700. 0.235373E+00  0.283201E+00  0.208932E+00  0.244514E+00
 7800. 0.237332E+00  0.286098E+00  0.210912E+00  0.246792E+00
 7900. 0.239301E+00  0.288967E+00  0.212862E+00  0.249042E+00
 8000. 0.241223E+00  0.291853E+00  0.214828E+00  0.251306E+00
 8100. 0.243150E+00  0.294721E+00  0.216795E+00  0.253544E+00
 8200. 0.245067E+00  0.297591E+00  0.218760E+00  0.255807E+00
 8300. 0.246998E+00  0.300454E+00  0.220709E+00  0.258045E+00
 8400. 0.248895E+00  0.303336E+00  0.222629E+00  0.260275E+00
 8500. 0.250799E+00  0.306158E+00  0.224579E+00  0.262496E+00
 8600. 0.252696E+00  0.309000E+00  0.226504E+00  0.264713E+00
 8700. 0.254569E+00  0.311854E+00  0.228430E+00  0.266918E+00
 8800. 0.256469E+00  0.314713E+00  0.230339E+00  0.269132E+00
 8900. 0.258334E+00  0.317541E+00  0.232241E+00  0.271321E+00
 9000. 0.260195E+00  0.320381E+00  0.234153E+00  0.273525E+00
